File,Result,Runtime (s)
aproveSMT1049786927316670908.smt2,UNSAT,0.9018
aproveSMT1052446639564253740.smt2,SAT,0.0344
aproveSMT1059628807158111792.smt2,UNSAT,3.0317
aproveSMT1061498247469120548.smt2,SAT,0.0369
aproveSMT106352422603502658.smt2,SAT,0.0295
aproveSMT106628954746449373.smt2,UNSAT,0.2642
aproveSMT1067132971625049215.smt2,UNSOLVED,4.0
aproveSMT1067631316961394932.smt2,UNSOLVED,4.0
aproveSMT1071993156819731935.smt2,SAT,0.1252
aproveSMT1072646210924280341.smt2,UNSAT,0.2447
aproveSMT1074794681419974085.smt2,UNSOLVED,4.0
aproveSMT1074996860240419241.smt2,UNSOLVED,4.0
aproveSMT1076852626867582761.smt2,SAT,0.1689
aproveSMT1079747557447732919.smt2,SAT,0.0403
aproveSMT1090306236237454748.smt2,SAT,0.0764
aproveSMT1090696552017880877.smt2,UNSOLVED,4.0
aproveSMT1091600435177837637.smt2,UNSOLVED,4.0
aproveSMT1092050415997084290.smt2,UNSOLVED,4.0
aproveSMT109680382490054156.smt2,UNSOLVED,4.0
aproveSMT1097886040970681958.smt2,SAT,0.1069
aproveSMT1100514060021376770.smt2,SAT,3.4083
aproveSMT110406245392905194.smt2,SAT,0.0288
aproveSMT1105246329636558105.smt2,UNSAT,0.3228
digital-stopwatch.locals.nosummaries.smt2,UNSOLVED,4.0
digital-stopwatch.locals.smt2,UNSOLVED,4.0
4NestedWith3Variables_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Ackermann01_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0686
AliasDarteFeautrierGonnord-SAS2010-aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0872
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration8_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0804
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0811
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,3.0509
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0888
Benghazi_nondet_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0759
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4759
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4752
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4759
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.2641
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3518
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1613
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.2551
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1202
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.9254
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.2992
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0768
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,2.8806
ChooseLife_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0925
Collatz_unknown-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.6047
ColonSipma-TACAS2001-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0869
Copenhagen_disj_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.3118
Et1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4133
Et1_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.434
Et4_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,SAT,0.1241
Et4_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SAT,0.1195
Et4_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3503
Et4_true_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4126
Et4_true_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3512
Et4_true_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3462
EvenOdd01_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0689
GCD4_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0946
Gothenburg_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0898
Gothenburg_v2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0919
Hanoi_plus_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Hanoi_plus_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0568
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0596
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0805
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4479
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.4449
gauss_sum_true-unreach-call.i.smt2,UNSOLVED,4.0
linear_sea.ch_true-unreach-call.i_162.smt2,UNSAT,0.0304
linear_sea.ch_true-unreach-call.i_163.smt2,UNSAT,0.0315
linear_sea.ch_true-unreach-call.i_164.smt2,UNSAT,0.0318
linear_sea.ch_true-unreach-call.i_75.smt2,UNSAT,0.0299
linear_sea.ch_true-unreach-call.i_76.smt2,UNSAT,0.0312
linear_sea.ch_true-unreach-call.i_77.smt2,UNSAT,0.0335
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.265
BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.5405
BradleyMannaSipma-2005CAV-Fig1-modified-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.3767
BradleyMannaSipma-2005ICALP-Fig1-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.2781
BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,0.6421
ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,1.136
CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,UNSAT,1.4281
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,1.8416
HarrisLalNoriRajamani-2010SAS-Fig2-alloca_unknown-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.2552
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.1526
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2,UNSAT,1.2864
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,1.1462
Masse-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.1164
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0822
Urban-2013WST-Fig1-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0541
Velroyen-alloca_false-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.075
a.06-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
a.07-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
b.07-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
b.09-no-inv_assume-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.459
b.13-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSOLVED,4.0
