File,Result,Runtime (s)
MC_10.smt2,UNSOLVED,4.0
MC_11.smt2,UNSOLVED,4.0
MC_12.smt2,UNSOLVED,4.0
MF_02.smt2,UNSAT,0.1713
MF_03.smt2,UNSOLVED,4.0
MF_04.smt2,UNSOLVED,4.0
MF_05.smt2,UNSOLVED,4.0
MF_06.smt2,UNSOLVED,4.0
MF_07.smt2,UNSOLVED,4.0
MF_08.smt2,UNSOLVED,4.0
MF_09.smt2,UNSOLVED,4.0
MF_10.smt2,UNSOLVED,4.0
MF_11.smt2,UNSOLVED,4.0
MF_12.smt2,UNSOLVED,4.0
MQ_02.smt2,UNSAT,0.1838
MQ_03.smt2,UNSOLVED,4.0
MQ_04.smt2,UNSOLVED,4.0
MQ_05.smt2,UNSOLVED,4.0
MQ_06.smt2,UNSOLVED,4.0
MQ_07.smt2,UNSOLVED,4.0
MQ_08.smt2,UNSOLVED,4.0
MQ_09.smt2,UNSOLVED,4.0
MQ_10.smt2,UNSOLVED,4.0
MQ_11.smt2,UNSOLVED,4.0
MQ_12.smt2,UNSOLVED,4.0
MS_02.smt2,UNSAT,-2.7602
MS_03.smt2,UNSOLVED,4.0
MS_04.smt2,UNSOLVED,4.0
MS_05.smt2,UNSOLVED,4.0
MS_06.smt2,UNSOLVED,4.0
MS_07.smt2,UNSOLVED,4.0
MS_08.smt2,UNSOLVED,4.0
MS_09.smt2,UNSOLVED,4.0
MS_10.smt2,UNSOLVED,4.0
MS_11.smt2,UNSOLVED,4.0
MS_12.smt2,UNSOLVED,4.0
RTA_091.smt2,UNSOLVED,4.0
RTA_092.smt2,UNSOLVED,4.0
RTA_093.smt2,UNSOLVED,4.0
RTA_094.smt2,UNSOLVED,4.0
RTA_095.smt2,UNSOLVED,4.0
RTA_096.smt2,UNSOLVED,4.0
cohencu.c_2.smt2,UNSOLVED,4.0
cohencu.c_4.smt2,UNSOLVED,4.0
divbin2.c_3.smt2,UNSOLVED,4.0
divbin2.c_4.smt2,UNSOLVED,4.0
divbin2.c_5.smt2,UNSOLVED,4.0
divbin2.c_6.smt2,UNSOLVED,4.0
divbin2.c_7.smt2,UNSOLVED,4.0
divbin2.c_8.smt2,UNSOLVED,4.0
divbin2.c_9.smt2,UNSOLVED,4.0
egcd.c_0.smt2,SAT,0.4741
egcd.c_1.smt2,SAT,0.1971
egcd.c_3.smt2,SAT,0.1783
egcd.c_4.smt2,UNSOLVED,4.0
egcd.c_5.smt2,SAT,1.0594
hard-ll.c_0.smt2,UNSOLVED,4.0
hard-ll.c_1.smt2,UNSOLVED,4.0
hard-ll.c_2.smt2,UNSOLVED,4.0
hard-ll.c_3.smt2,UNSOLVED,4.0
hard-ll.c_4.smt2,UNSOLVED,4.0
hard.c_2.smt2,UNSOLVED,4.0
hard.c_3.smt2,UNSOLVED,4.0
interleave_bits.c_1.smt2,UNSOLVED,4.0
interleave_bits.c_2.smt2,UNSOLVED,4.0
