File,Result,Runtime (s)
b.07-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.4269
b.13-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.3558
b.15-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,0.4316
b.17-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.4121
c.03-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.4089
flag-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.5963
openbsd_cstrstr-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,UNSAT,0.4493
twisted-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.2987
term-0Awwcv.smt2,SAT,0.1047
term-0BB4ks.smt2,SAT,6.9679
term-0Hb4yp.smt2,SAT,0.0318
term-0iwxZS.smt2,SAT,0.1649
term-3wwoHp.smt2,SAT,0.8194
term-44GWq9.smt2,SAT,0.0646
term-47h0ua.smt2,SAT,0.4721
term-4LNX6G.smt2,SAT,0.0303
term-4Th0Gp.smt2,SAT,0.156
term-4UoYtH.smt2,SAT,0.0304
term-4d0iwO.smt2,SAT,0.0295
term-5Luqnl.smt2,SAT,0.0243
term-607QpU.smt2,SAT,0.3865
term-6k3pKM.smt2,SAT,0.2147
term-6mYU5G.smt2,SAT,0.0801
term-6zE855.smt2,SAT,0.1353
term-71B6am.smt2,SAT,0.0432
term-7DXK1v.smt2,SAT,0.6413
term-7njo7V.smt2,SAT,0.0184
term-7zXPfO.smt2,SAT,0.0488
term-87NL0Z.smt2,SAT,7.7248
term-8UXrgn.smt2,SAT,0.0527
term-9AOvYh.smt2,SAT,0.0191
term-9mUXbx.smt2,SAT,0.1018
term-9uFTFt.smt2,SAT,0.3834
term-AlRgl3.smt2,SAT,0.1532
term-AvoWGH.smt2,SAT,0.0268
term-AwuLMZ.smt2,SAT,0.0812
term-BKc7xf.smt2,UNSOLVED,20.0
term-BjWYcv.smt2,SAT,0.0474
term-BpsRn7.smt2,SAT,6.6829
term-EcNqkB.smt2,SAT,0.1157
term-G0osfI.smt2,SAT,0.0385
term-GPalmJ.smt2,SAT,0.0435
term-Gxx8TQ.smt2,SAT,0.7039
term-H9wl52.smt2,SAT,0.0187
term-HonGrM.smt2,SAT,0.0227
term-JpE7g8.smt2,SAT,0.0296
term-Jzxbf6.smt2,UNSOLVED,20.0
term-K0mzk0.smt2,SAT,0.453
01.smt2,UNSOLVED,20.0
02.smt2,UNSOLVED,20.0
03.smt2,UNSOLVED,20.0
04.smt2,UNSOLVED,20.0
05.smt2,UNSOLVED,20.0
06.smt2,SAT,5.2574
07.smt2,UNSOLVED,20.0
08.smt2,UNSOLVED,20.0
09.smt2,UNSOLVED,20.0
10.smt2,UNSOLVED,20.0
100.smt2,UNSOLVED,20.0
101.smt2,UNSOLVED,20.0
102.smt2,UNSOLVED,20.0
103.smt2,UNSOLVED,20.0
104.smt2,UNSOLVED,20.0
105.smt2,UNSOLVED,20.0
106.smt2,UNSOLVED,20.0
107.smt2,SAT,8.5447
108.smt2,UNSOLVED,20.0
109.smt2,SAT,1.128
11.smt2,UNSOLVED,20.0
110.smt2,UNSOLVED,20.0
111.smt2,UNSOLVED,20.0
112.smt2,UNSOLVED,20.0
113.smt2,SAT,1.2777
114.smt2,UNSOLVED,20.0
115.smt2,SAT,7.4477
116.smt2,UNSOLVED,20.0
117.smt2,SAT,11.8112
118.smt2,SAT,6.8958
119.smt2,UNSOLVED,20.0
12.smt2,UNSOLVED,20.0
120.smt2,UNSOLVED,20.0
121.smt2,UNSOLVED,20.0
122.smt2,UNSOLVED,20.0
123.smt2,UNSOLVED,20.0
124.smt2,UNSOLVED,20.0
125.smt2,UNSOLVED,20.0
126.smt2,UNSOLVED,20.0
127.smt2,UNSOLVED,20.0
128.smt2,UNSOLVED,20.0
129.smt2,UNSOLVED,20.0
13.smt2,UNSOLVED,20.0
130.smt2,UNSOLVED,20.0
131.smt2,UNSOLVED,20.0
132.smt2,UNSOLVED,20.0
133.smt2,UNSOLVED,20.0
134.smt2,UNSOLVED,20.0
135.smt2,UNSOLVED,20.0
136.smt2,UNSOLVED,20.0
SUMMARY,SAT:78 UNSAT:56 UNSOLVED201,4304.8367
