File,Result,Runtime (s)
aproveSMT1061498247469120548.smt2,SAT,0.0148
aproveSMT106352422603502658.smt2,SAT,0.0144
aproveSMT106628954746449373.smt2,UNSAT,0.0357
aproveSMT1067132971625049215.smt2,UNSOLVED,4.0
aproveSMT1067631316961394932.smt2,UNSOLVED,4.0
aproveSMT1071993156819731935.smt2,SAT,0.0174
aproveSMT1072646210924280341.smt2,UNSAT,0.0178
aproveSMT1074794681419974085.smt2,SAT,0.1431
aproveSMT1074996860240419241.smt2,UNSOLVED,4.0
aproveSMT1076852626867582761.smt2,SAT,0.0172
aproveSMT1079747557447732919.smt2,SAT,0.0159
aproveSMT1090306236237454748.smt2,SAT,0.0278
aproveSMT1090696552017880877.smt2,SAT,2.752
aproveSMT1091600435177837637.smt2,UNSOLVED,4.0
aproveSMT1092050415997084290.smt2,UNSAT,0.3367
aproveSMT109680382490054156.smt2,UNSOLVED,4.0
aproveSMT1097886040970681958.smt2,SAT,0.0223
aproveSMT1100514060021376770.smt2,SAT,0.0414
aproveSMT110406245392905194.smt2,SAT,0.0139
aproveSMT1105246329636558105.smt2,UNSAT,0.1487
digital-stopwatch.locals.nosummaries.smt2,UNSOLVED,4.0
digital-stopwatch.locals.smt2,UNSAT,0.1977
4NestedWith3Variables_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Ackermann01_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,1.2686
AliasDarteFeautrierGonnord-SAS2010-aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1764
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration8_Loop+nonterminationTemplate_0.smt2,UNSAT,1.9964
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Benghazi_nondet_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.6711
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0121
