File,Result,Runtime (s)
b.09-no-inv_assume-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,0.0968
diff-alloca_true-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,0.1407
java_AG313-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.0893
openbsd_cstpncpy-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.0929
substring-alloca_true-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,0.1163
problem-000001.cvc.1.smt2,SAT,0.0933
problem-000001.cvc.2.smt2,UNSAT,0.1358
problem-000003.cvc.1.smt2,SAT,0.203
problem-000003.cvc.2.smt2,SAT,0.2803
problem-000005.cvc.1.smt2,SAT,0.1169
problem-000005.cvc.2.smt2,UNSAT,0.2953
problem-000007.cvc.1.smt2,SAT,0.1471
problem-000008.cvc.1.smt2,SAT,0.1953
problem-000008.cvc.2.smt2,SAT,0.3455
problem-000012.cvc.1.smt2,SAT,0.1968
problem-000012.cvc.2.smt2,UNSAT,0.254
problem-000013.cvc.1.smt2,SAT,0.2212
problem-000016.cvc.1.smt2,SAT,0.3619
problem-000016.cvc.2.smt2,UNSAT,0.6416
problem-000019.cvc.1.smt2,SAT,0.1368
problem-000019.cvc.2.smt2,SAT,0.3834
problem-000021.cvc.1.smt2,SAT,0.1192
problem-000021.cvc.2.smt2,UNSAT,0.1817
problem-000024.cvc.1.smt2,SAT,0.1309
problem-000025.cvc.1.smt2,SAT,0.1193
problem-000025.cvc.2.smt2,UNSAT,0.3885
problem-000030.cvc.1.smt2,SAT,0.1
problem-000030.cvc.2.smt2,UNSAT,0.18
problem-000031.cvc.1.smt2,SAT,-0.7093
problem-000032.cvc.1.smt2,SAT,0.4762
problem-000032.cvc.2.smt2,SAT,0.3976
problem-000036.cvc.1.smt2,SAT,0.149
problem-000036.cvc.2.smt2,UNSAT,0.2114
problem-000037.cvc.1.smt2,SAT,0.1456
problem-000043.cvc.1.smt2,SAT,0.1502
problem-000044.cvc.1.smt2,SAT,0.1252
problem-000044.cvc.2.smt2,UNSAT,0.2246
problem-000062.cvc.1.smt2,SAT,0.2057
problem-000062.cvc.2.smt2,UNSAT,0.1551
problem-000063.cvc.1.smt2,UNSAT,0.8959
problem-000064.cvc.1.smt2,UNSAT,0.1325
problem-000080.cvc.1.smt2,UNSAT,0.6616
problem-000081.cvc.1.smt2,SAT,0.2243
problem-000081.cvc.2.smt2,UNSAT,0.1652
problem-000084.cvc.1.smt2,UNSAT,0.1594
problem-000100.cvc.1.smt2,SAT,0.2233
problem-000100.cvc.2.smt2,UNSAT,0.1818
problem-000103.cvc.1.smt2,UNSAT,0.2939
problem-000104.cvc.1.smt2,UNSAT,0.1548
problem-000120.cvc.1.smt2,SAT,0.2014
problem-000123.cvc.1.smt2,UNSAT,0.4965
problem-000124.cvc.1.smt2,UNSAT,0.1368
problem-000125.cvc.1.smt2,SAT,0.1992
problem-000125.cvc.2.smt2,UNSAT,0.4523
problem-000128.cvc.1.smt2,SAT,0.9636
term-3qaBfW.smt2,SAT,0.0231
term-3rtjVi.smt2,SAT,0.0228
term-4AzLVe.smt2,SAT,0.0311
term-7fXGzy.smt2,SAT,0.0267
term-Aon9bM.smt2,SAT,0.0473
term-BWHEfg.smt2,SAT,0.0361
term-CrNtep.smt2,SAT,0.02
term-DtOD2C.smt2,SAT,0.022
term-F85Fh4.smt2,SAT,0.0665
term-H5JQ97.smt2,SAT,0.019
SUMMARY,SAT:85 UNSAT:103 UNSOLVED12,285.7284
